11.201	2.88	5.33	5.33	28.8	NAN	
11.301	2.91	4.44	4.44	29.1	NAN	
11.401	2.94	3.43	3.43	29.4	NAN	
11.501	2.955	2.465	2.465	29.55	NAN	
11.601	2.985	1.695	1.695	29.85	NAN	
11.701	3.015	1.205	1.205	30.15	NAN	
11.801	3.045	0.95	0.95	30.45	NAN	
11.901	3.075	0.935	0.935	30.75	NAN	
12.001	3.09	1.095	1.095	30.9	NAN	
12.101	3.105	1.385	1.385	31.05	NAN	
12.201	3.135	1.83	1.83	31.35	NAN	
12.301	3.165	2.37	2.37	31.65	NAN	
12.401	3.195	2.755	2.755	31.95	NAN	
12.501	3.195	2.745	2.745	31.95	NAN	
12.601	3.195	2.755	2.755	31.95	NAN	
12.701	3.195	2.75	2.75	31.95	NAN	
12.801	3.195	2.75	2.75	31.95	NAN	
12.901	3.195	2.755	2.755	31.95	NAN	
13.001	3.195	2.745	2.745	31.95	NAN	
13.101	3.195	2.745	2.745	31.95	NAN	
13.201	3.195	2.745	2.745	31.95	NAN	
13.301	3.195	2.755	2.755	31.95	NAN	
13.401	3.195	2.76	2.76	31.95	NAN	
13.501	3.195	2.76	2.76	31.95	NAN	
13.601	3.195	2.755	2.755	31.95	NAN	
