Crystal angle	Rate at 15kV	Rate at 17kV	Rate at 19kV	Rate at 21kV	Rate at 23kV	Rate at 25kV	Rate at 27kV	Rate at 29kV	Rate at 31kV	Rate at 33kV	Rate at 35kV
theta/°	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(21kV)/Imp/s	R(23kV)/Imp/s	R(25kV)/Imp/s	R(27kV)/Imp/s	R(29kV)/Imp/s	R(31kV)/Imp/s	R(33kV)/Imp/s	R(35kV)/Imp/s

8.0	0.0	41.0	116.0	175.0	191.0	259.0	318.0	362.0	377.0	502.0	588.0
8.1	2.0	46.0	110.0	203.0	257.0	292.0	341.0	386.0	418.0	511.0	567.0
8.2	1.0	59.0	124.0	178.0	246.0	290.0	322.0	362.0	426.0	489.0	567.0
8.3	1.0	71.0	126.0	174.0	209.0	278.0	302.0	321.0	387.0	503.0	527.0
8.4	0.0	63.0	121.0	159.0	242.0	269.0	324.0	377.0	381.0	446.0	530.0
8.5	2.0	63.0	124.0	179.0	199.0	231.0	293.0	363.0	362.0	448.0	531.0
8.6	3.0	72.0	139.0	156.0	231.0	248.0	299.0	353.0	389.0	437.0	529.0
8.7	18.0	71.0	124.0	160.0	170.0	263.0	310.0	365.0	399.0	435.0	491.0
8.8	16.0	71.0	122.0	160.0	181.0	240.0	280.0	341.0	412.0	440.0	534.0
8.9	39.0	75.0	124.0	177.0	214.0	252.0	279.0	311.0	424.0	442.0	496.0
9.0	34.0	78.0	118.0	167.0	216.0	213.0	256.0	293.0	380.0	399.0	476.0
9.1	29.0	90.0	137.0	150.0	204.0	258.0	280.0	289.0	364.0	422.0	466.0
9.2	26.0	74.0	117.0	163.0	212.0	227.0	268.0	331.0	334.0	410.0	480.0
9.3	40.0	85.0	141.0	127.0	199.0	204.0	276.0	307.0	354.0	423.0	473.0
9.4	35.0	75.0	106.0	155.0	172.0	221.0	250.0	267.0	346.0	376.0	432.0
9.5	30.0	85.0	113.0	150.0	187.0	203.0	283.0	310.0	314.0	357.0	422.0
9.6	52.0	58.0	104.0	124.0	155.0	199.0	224.0	295.0	336.0	375.0	425.0
9.7	40.0	79.0	96.0	132.0	139.0	172.0	225.0	273.0	321.0	337.0	355.0
9.8	41.0	53.0	102.0	112.0	122.0	181.0	211.0	242.0	304.0	337.0	352.0
9.9	39.0	86.0	108.0	119.0	155.0	162.0	218.0	205.0	301.0	326.0	351.0
10.0	29.0	53.0	101.0	127.0	134.0	145.0	194.0	245.0	285.0	318.0	347.0
